code,section,hour,slot,lab
MATH 221,1,2,11,0
MATH 221,2,2,13,0
HUM 103,1,2,16,0
HUM 103,2,2,18,0
MATH 221,2,2,31,0
MATH 221,1,2,33,0
EXAM,0,2,48,0
