code,section,hour,slot,lab
PHYS 102,1,2,1,0
PHYS 102,2,1,3,0
PHYS 102,2,2,6,1
MATH 132,1,2,11,0
MATH 132,2,2,13,0
AFE 132,1,2,16,0
PHYS 102,8,2,16,1
AFE 132,2,2,18,0
PHYS 102,7,2,18,1
PHYS 102,2,2,21,0
PHYS 102,1,1,23,0
MATH 154,1,2,26,0
MATH 154,2,2,28,0
MATH 132,2,2,31,0
MATH 132,1,2,33,0
MATH 132,0,2,38,2
AFE 132,1,2,41,0
MATH 154,2,2,41,0
AFE 132,2,2,43,0
MATH 154,1,2,43,0
EXAM,0,3,48,0
