code,section,hour,slot,lab
PHYS 101,1,2,1,0
PHYS 101,2,1,3,0
GBE 113,0,2,4,1
PHYS 101,2,2,6,1
MATH 131,1,2,11,0
MATH 131,2,2,13,0
AFE 131,0,2,16,0
AFE 131,0,2,18,0
PHYS 101,2,2,21,0
PHYS 101,1,2,23,0
PHYS 101,0,2,26,1
MATH 131,2,2,31,0
MATH 131,1,2,33,0
GBE 113,0,1,34,0
MATH 131,0,2,37,2
AFE 131,0,2,41,0
AFE 131,0,2,43,0
GBE 113,0,2,46,0
EXAM,0,3,48,0
