code,section,hour,slot,lab
HTR 302,1,2,6,0
HTR 301,1,2,6,0
HTR 302,2,2,8,0
HTR 301,2,2,8,0
TKL 201,0,2,28,0
HTR 302,3,2,46,0
HTR 302,4,2,48,0
HTR 301,3,2,48,0
