code,section,hour,slot,lab
MATH 241,1,2,1,0
MATH 241,2,1,1,0
MATH 241,2,1,23,0
MATH 241,1,2,21,0
MATH 281,1,2,26,0
MATH 281,3,2,26,0
MATH 241,0,2,28,1
MATH 281,1,2,41,0
MATH 281,3,2,41,0
EXAM,0,2,48,0
